"title","summary","imageUrl"
"Петропавловск: Жұмысшы кентінде 3 күн су жабылуы","Петропавловск: Жұмысшы кентінде 3 күн су жабылуы
			31 қазанынан 2 қарашасына дейін Петропавловск қаласында мына көшелерде су жабылады, деп хабарлайды Петропавловск.news. (далее…)","https://pkzsk.info/wp-content/uploads/2022/12/whatsapp-image-2022-12-21-at-12.58.32.jpeg"
"Без воды на 3 дня останутся несколько улиц Петропавловска","Без воды на 3 дня останутся несколько улиц Петропавловска
			В акимате Петропавловска предупредили о грядущем отключении воды в Рабочем поселке. На 3 дня без воды останутся жители 8 улиц, передает Петропавловск.news. (далее…)","https://pkzsk.info/wp-content/uploads/2024/04/whatsapp-image-2024-04-13-at-16.44.08.jpeg"
"Петропавлда студент есірткі сатты деген күдікке ілінді","Петропавлда студент есірткі сатты деген күдікке ілінді
			Полицейлер өткен жылдан бостандығы шектелген Петропавл қаласының 18 жастағы студентін ұстады. Одан синтетикалық есірткінің аса ірі партиясы тәркіленді, деп хабарлайды Петропавловск.news. (далее…)","https://pkzsk.info/wp-content/uploads/2024/10/df27c5d6-5b2f-4d8e-8a32-394c3cb09c78.jpg"
"Как Тыквенный Спас стал альтернативой Хеллоуину","Как Тыквенный Спас стал альтернативой Хеллоуину
			В интернете разлетелась информация о том, что вместо Хеллоуина в странах СНГ празднуют Тыквенный Спас. Что это за день? Настоящий ли это праздник или его выдумали совсем недавно? Какое отношение он имеет к религии, и откуда он взялся? Ответы на эти вопросы вам даст Петропавловск.news. (далее…)","https://pkzsk.info/wp-content/uploads/2024/10/photo_2024-10-31_15-26-19-2.jpg"
"Дождь, снег, штормовой ветер: прогноз погоды в Петропавловске на 1 ноября","Дождь, снег, штормовой ветер: прогноз погоды в Петропавловске на 1 ноября
			На севере Казахстана в первый день ноября будет штормовой ветер, передает Петропавловск.news. (далее…)","https://pkzsk.info/wp-content/uploads/2024/10/photo_2024-10-31_09-41-35.jpg"
"Религиозные «браки» и сожительство браком в Казахстане не считают","Религиозные «браки» и сожительство браком в Казахстане не считают
			В Казахстане религиозные «браки» и сожительство не признают в официальных органах, передает Петропавловск.news. (далее…)","https://pkzsk.info/wp-content/uploads/2024/10/crop_hands_bride_groom_1153_2903.jpg"
"Солтүстік Қазақстан облысының полицейлері жол талғамайтын көліктен заңсыз алкоголь мен темекіні тәркіледі","Солтүстік Қазақстан облысының полицейлері жол талғамайтын көліктен заңсыз алкоголь мен темекіні тәркіледі
			Петропавловскінің полицейлері жол талғамайтын көліктен заңсыз алкоголь мен темекіні тәркіледі, – деп хабарлайды Петропавловск.news. (далее…)","https://pkzsk.info/wp-content/uploads/2024/10/izobrazhenie-whatsapp-2024-10-31-v-11.17.25_b3d73c06.jpg"
"18-летний рецидивист: студента задержали в Петропавловске с наркотиками","18-летний рецидивист: студента задержали в Петропавловске с наркотиками
			Задержанному в Петропавловске студенту грозит до 15 лет лишения свободы. Его обвиняют в сбыте наркотиков. Ранее он уже был приговорён к ограничению свободы за поножовщину, передает Петропавловск.news. (далее…)","https://pkzsk.info/wp-content/uploads/2024/10/df27c5d6-5b2f-4d8e-8a32-394c3cb09c78.jpg"
"В Астане шеф-повар кафе продавал гашиш","В Астане шеф-повар кафе продавал гашиш
			Столичный повар занимался распространением наркотических средств на территории Акмолинской области, пеедает Петропавловск.news со ссылкой на пресс-службу МВД Казахстана. (далее…)","https://pkzsk.info/wp-content/uploads/2024/10/bgaaagmtg-a-1920.jpg"
"Казахстанцы выражают недовольство здравоохранением","Казахстанцы выражают недовольство здравоохранением
			Опрос бюро национальной статистики АСПиР РК весной этого года показал, что у казахстанцев существуют разные мнения о доступности и качестве услуг здравоохранения, с явными признаками недовольства, передает Петропавловск.news. (далее…)","https://pkzsk.info/wp-content/uploads/2024/10/photo_2023-07-04_22-20-25.jpg"
"В Петропавловске пожарные спасли пожилого мужчину из горящего частного дома","В Петропавловске пожарные спасли пожилого мужчину из горящего частного дома
			В Петропавловске пожарные провели операцию по спасению мужчины 1951 года рождения из горящего частного дома, передает Петропавловск.news. (далее…)","https://pkzsk.info/wp-content/uploads/2024/10/skrinshot-31-10-2024-122944.jpg"
"В Казахстане одобрили проект соглашения о совместном использовании с Россией телефонного кода +7","В Казахстане одобрили проект соглашения о совместном использовании с Россией телефонного кода +7
			В министерстве цифрового развития Казахстана сообщили об одобрении проекта соглашения о совместном использовании с Россией телефонного кода +7, передает Петропавловск.news со ссылкой на КазТАГ. (далее…)","https://pkzsk.info/wp-content/uploads/2024/10/telefon.jpg"
